2026-08-04 09:08:12,387 | INFO     | bronze.inventory | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_inventory_20260804.log
2026-08-04 09:08:12,388 | INFO     | bronze.inventory | Checking for last successful run
2026-08-04 09:08:13,215 | INFO     | bronze.inventory | Fetched watermark value: 2025-03-01 00:00:00
2026-08-04 09:08:13,216 | INFO     | bronze.inventory | Reading source inventory_raw table
2026-08-04 09:08:13,249 | INFO     | bronze.inventory | Starting pre-write validations
2026-08-04 09:08:14,766 | INFO     | bronze.inventory | Rows read from source: 0
2026-08-04 09:08:14,948 | INFO     | bronze.inventory | Pre-write validations passed. Source inventory_raw ready for ingestion.
2026-08-04 09:08:14,951 | INFO     | bronze.inventory | Starting Bronze inventory ingestion
2026-08-04 09:08:14,954 | INFO     | bronze.inventory | Source table: inventory_raw
2026-08-04 09:08:14,957 | INFO     | bronze.inventory | Target table: inventory
2026-08-04 09:08:16,926 | INFO     | bronze.inventory | Bronze inventory table written successfully.
2026-08-04 09:08:16,928 | INFO     | bronze.inventory | Starting post-write validations
2026-08-04 09:08:17,341 | INFO     | bronze.inventory | No new data found. Using previous watermark: 2025-03-01 00:00:00
2026-08-04 09:08:17,343 | INFO     | bronze.inventory | Rows written in this run: 0
2026-08-04 09:08:17,839 | INFO     | bronze.inventory | Total rows in bronze table: 10
2026-08-04 09:08:18,583 | INFO     | bronze.inventory | No primary key duplicates found
2026-08-04 09:08:19,002 | INFO     | bronze.inventory | No full row duplicates found
2026-08-04 09:08:19,409 | INFO     | bronze.inventory | No NULL values found
2026-08-04 09:08:19,415 | INFO     | bronze.inventory | Post-write validations completed. Bronze inventory ingestion finished successfully.
2026-08-04 09:08:21,149 | INFO     | bronze.inventory | Audit log written successfully
2026-08-04 09:33:41,271 | INFO     | bronze.inventory | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_inventory_20260804.log
2026-08-04 09:33:41,272 | INFO     | bronze.inventory | Checking for last successful run
2026-08-04 09:33:41,929 | INFO     | bronze.inventory | Fetched watermark value: 2025-03-01 00:00:00
2026-08-04 09:33:41,930 | INFO     | bronze.inventory | Reading source inventory_raw table
2026-08-04 09:33:41,958 | INFO     | bronze.inventory | Starting pre-write validations
2026-08-04 09:33:42,762 | INFO     | bronze.inventory | Rows read from source: 0
2026-08-04 09:33:42,935 | INFO     | bronze.inventory | Pre-write validations passed. Source inventory_raw ready for ingestion.
2026-08-04 09:33:42,937 | INFO     | bronze.inventory | Starting Bronze inventory ingestion
2026-08-04 09:33:42,939 | INFO     | bronze.inventory | Source table: inventory_raw
2026-08-04 09:33:42,941 | INFO     | bronze.inventory | Target table: inventory
2026-08-04 09:33:44,087 | INFO     | bronze.inventory | Bronze inventory table written successfully.
2026-08-04 09:33:44,088 | INFO     | bronze.inventory | Starting post-write validations
2026-08-04 09:33:44,727 | INFO     | bronze.inventory | No new data found. Using previous watermark: 2025-03-01 00:00:00
2026-08-04 09:33:44,729 | INFO     | bronze.inventory | Rows written in this run: 0
2026-08-04 09:33:45,191 | INFO     | bronze.inventory | Total rows in bronze table: 10
2026-08-04 09:33:45,526 | INFO     | bronze.inventory | No primary key duplicates found
2026-08-04 09:33:45,870 | INFO     | bronze.inventory | No full row duplicates found
2026-08-04 09:33:46,211 | INFO     | bronze.inventory | No NULL values found
2026-08-04 09:33:46,212 | INFO     | bronze.inventory | Post-write validations completed. Bronze inventory ingestion finished successfully.
2026-08-04 09:33:47,684 | INFO     | bronze.inventory | Audit log written successfully
2026-08-04 12:46:38,130 | INFO     | bronze.inventory | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/bronze_inventory_20260804.log
2026-08-04 12:46:38,132 | INFO     | bronze.inventory | Checking for last successful run
2026-08-04 12:46:38,828 | INFO     | bronze.inventory | Fetched watermark value: 2025-03-01 00:00:00
2026-08-04 12:46:38,829 | INFO     | bronze.inventory | Reading source inventory_raw table
2026-08-04 12:46:38,861 | INFO     | bronze.inventory | Starting pre-write validations
2026-08-04 12:46:39,954 | INFO     | bronze.inventory | Rows read from source: 0
2026-08-04 12:46:40,151 | INFO     | bronze.inventory | Pre-write validations passed. Source inventory_raw ready for ingestion.
2026-08-04 12:46:40,153 | INFO     | bronze.inventory | Starting Bronze inventory ingestion
2026-08-04 12:46:40,155 | INFO     | bronze.inventory | Source table: inventory_raw
2026-08-04 12:46:40,156 | INFO     | bronze.inventory | Target table: inventory
2026-08-04 12:46:42,027 | INFO     | bronze.inventory | Bronze inventory table written successfully.
2026-08-04 12:46:42,040 | INFO     | bronze.inventory | Starting post-write validations
2026-08-04 12:46:42,444 | INFO     | bronze.inventory | No new data found. Using previous watermark: 2025-03-01 00:00:00
2026-08-04 12:46:42,446 | INFO     | bronze.inventory | Rows written in this run: 0
2026-08-04 12:46:42,986 | INFO     | bronze.inventory | Total rows in bronze table: 10
2026-08-04 12:46:43,484 | INFO     | bronze.inventory | No primary key duplicates found
2026-08-04 12:46:43,863 | INFO     | bronze.inventory | No full row duplicates found
2026-08-04 12:46:44,406 | INFO     | bronze.inventory | No NULL values found
2026-08-04 12:46:44,410 | INFO     | bronze.inventory | Post-write validations completed. Bronze inventory ingestion finished successfully.
2026-08-04 12:46:45,924 | INFO     | bronze.inventory | Audit log written successfully
