2026-08-06 05:37:31,872 | INFO     | silver.clean_inventory | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/silver_clean_inventory_20260806.log
2026-08-06 05:37:31,875 | INFO     | silver.clean_inventory | Starting Silver pipeline at 2026-08-06 05:37:31.870956
2026-08-06 05:37:32,746 | INFO     | silver.clean_inventory | Incremental load from catalog_project1.bronze.inventory
2026-08-06 05:37:33,770 | INFO     | silver.clean_inventory | Read 0 records from catalog_project1.bronze.inventory
2026-08-06 05:37:33,819 | INFO     | silver.clean_inventory | All required columns exists in the catalog_project1.bronze.inventory
2026-08-06 05:37:33,828 | WARNING  | silver.clean_inventory | New columns detected in catalog_project1.bronze.inventory: {'_source_table', '_ingestion_pipeline_id', '_source_file', '_ingestion_timestamp'}
2026-08-06 05:37:34,385 | INFO     | silver.clean_inventory | Data standardization completed for the catalog_project1.bronze.inventory
2026-08-06 05:37:34,812 | INFO     | silver.clean_inventory | Data type casting completed for the catalog_project1.bronze.inventory
2026-08-06 05:37:35,700 | INFO     | silver.clean_inventory | Data validation completed for the catalog_project1.bronze.inventory
2026-08-06 05:37:36,069 | INFO     | silver.clean_inventory | Deduplication completed for the catalog_project1.bronze.inventory
2026-08-06 05:37:39,636 | INFO     | silver.clean_inventory | Data written to the catalog_project1.silver.clean_inventory
2026-08-06 05:37:41,016 | INFO     | silver.clean_inventory | Data validation for catalog_project1.silver.clean_inventory completed
2026-08-06 05:37:41,020 | INFO     | silver.clean_inventory | Silver pipeline for catalog_project1.silver.clean_inventory completed successfully
2026-08-06 05:37:41,021 | INFO     | silver.clean_inventory | No new data, watermark value unchanged: 2025-03-01 00:00:00
2026-08-06 05:37:42,545 | INFO     | silver.clean_inventory | Audit for catalog_project1.silver.clean_inventory is written successfully
2026-08-06 06:34:04,192 | INFO     | silver.clean_inventory | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/silver_clean_inventory_20260806.log
2026-08-06 06:34:04,193 | INFO     | silver.clean_inventory | Starting Silver pipeline at 2026-08-06 06:34:04.190465
2026-08-06 06:34:05,225 | INFO     | silver.clean_inventory | Incremental load from catalog_project1.bronze.inventory
2026-08-06 06:34:06,135 | INFO     | silver.clean_inventory | Read 0 records from catalog_project1.bronze.inventory
2026-08-06 06:34:06,136 | INFO     | silver.clean_inventory | All required columns exists in the catalog_project1.bronze.inventory
2026-08-06 06:34:06,138 | WARNING  | silver.clean_inventory | New columns detected in catalog_project1.bronze.inventory: {'_source_table', '_ingestion_pipeline_id', '_source_file', '_ingestion_timestamp'}
2026-08-06 06:34:06,797 | INFO     | silver.clean_inventory | Data standardization completed for the catalog_project1.bronze.inventory
2026-08-06 06:34:07,167 | INFO     | silver.clean_inventory | Data type casting completed for the catalog_project1.bronze.inventory
2026-08-06 06:34:07,992 | INFO     | silver.clean_inventory | Data validation completed for the catalog_project1.bronze.inventory
2026-08-06 06:34:08,664 | INFO     | silver.clean_inventory | Deduplication completed for the catalog_project1.bronze.inventory
2026-08-06 06:34:12,536 | INFO     | silver.clean_inventory | Data written to the catalog_project1.silver.clean_inventory
2026-08-06 06:34:13,881 | INFO     | silver.clean_inventory | Data validation for catalog_project1.silver.clean_inventory completed
2026-08-06 06:34:13,882 | INFO     | silver.clean_inventory | Silver pipeline for catalog_project1.silver.clean_inventory completed successfully
2026-08-06 06:34:13,883 | INFO     | silver.clean_inventory | No new data, watermark value unchanged: 2025-03-01 00:00:00
2026-08-06 06:34:15,468 | INFO     | silver.clean_inventory | Audit for catalog_project1.silver.clean_inventory is written successfully
2026-08-06 09:17:30,652 | INFO     | silver.clean_inventory | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/silver_clean_inventory_20260806.log
2026-08-06 09:17:30,654 | INFO     | silver.clean_inventory | Starting Silver pipeline at 2026-08-06 09:17:30.651755
2026-08-06 09:17:31,451 | INFO     | silver.clean_inventory | Incremental load from catalog_project1.bronze.inventory
2026-08-06 09:17:32,412 | INFO     | silver.clean_inventory | Read 0 records from catalog_project1.bronze.inventory
2026-08-06 09:17:32,413 | INFO     | silver.clean_inventory | All required columns exists in the catalog_project1.bronze.inventory
2026-08-06 09:17:32,415 | WARNING  | silver.clean_inventory | New columns detected in catalog_project1.bronze.inventory: {'_source_table', '_ingestion_pipeline_id', '_source_file', '_ingestion_timestamp'}
2026-08-06 09:17:32,995 | INFO     | silver.clean_inventory | Data standardization completed for the catalog_project1.bronze.inventory
2026-08-06 09:17:33,490 | INFO     | silver.clean_inventory | Data type casting completed for the catalog_project1.bronze.inventory
2026-08-06 09:17:34,300 | INFO     | silver.clean_inventory | Data validation completed for the catalog_project1.bronze.inventory
2026-08-06 09:17:34,705 | INFO     | silver.clean_inventory | Deduplication completed for the catalog_project1.bronze.inventory
2026-08-06 09:17:38,326 | INFO     | silver.clean_inventory | Data written to the catalog_project1.silver.clean_inventory
2026-08-06 09:17:39,722 | INFO     | silver.clean_inventory | Data validation for catalog_project1.silver.clean_inventory completed
2026-08-06 09:17:39,724 | INFO     | silver.clean_inventory | Silver pipeline for catalog_project1.silver.clean_inventory completed successfully
2026-08-06 09:17:39,725 | INFO     | silver.clean_inventory | No new data, watermark value unchanged: 2025-03-01 00:00:00
2026-08-06 09:17:41,331 | INFO     | silver.clean_inventory | Audit for catalog_project1.silver.clean_inventory is written successfully
2026-08-06 10:01:49,432 | INFO     | silver.clean_inventory | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/silver_clean_inventory_20260806.log
